Domain,Origin,Action,Comment
5dollah.click,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-associated, hate-speech, racism, spam"
activitypub-troll.cf,"Garden Fence (2025-10-12)","Suspend","dos, harassment, spam"
adachi.party,"Garden Fence (2025-10-12)","Suspend","harassment, hate-associated, hate-speech, racism"
aethy.com,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
annihilation.social,"Garden Fence (2025-10-12)","Suspend","harassment, hate-associated, hate-speech"
arell.ai,"Garden Fence (2025-10-12)","Suspend","bots, spam"
asbestos.cafe,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, hate-associated, hate-speech, racism, underage"
bae.st,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, harassment, hate-associated, hate-speech, inappropriate, nazism, racism"
baraag.net,"Garden Fence (2025-10-12)","Suspend","hate-associated, inappropriate, underage"
beefyboys.win,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, hate-associated, hate-speech"
berserker.town,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, fascism, hate-speech"
blob.cat,"Garden Fence (2025-10-12)","Suspend","harassment, porn"
boymoder.biz,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-associated, hate-speech, racism, underage"
breastmilk.club,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-associated, hate-speech, racism"
brighteon.social,"Garden Fence (2025-10-12)","Suspend","alt-right, conspiracy, hate-speech"
bungle.online,"Garden Fence (2025-10-12)","Suspend","hate-associated, racism"
cachapa.xyz,"Garden Fence (2025-10-12)","Suspend","hate-speech, racism"
cannibal.cafe,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
cawfee.club,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech, racism"
clew.lol,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech, racism"
clubcyberia.co,"Garden Fence (2025-10-12)","Suspend","harassment, hate-speech, racism"
collapsitarian.io,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-associated"
contrapointsfan.club,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech"
cottoncandy.cafe,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
cryptodon.lol,Garden Fence (2025-10-12),"Suspend","crypto"
cum.camp,"Garden Fence (2025-10-12)","Suspend","harassment, inappropriate"
cum.salon,"Garden Fence (2025-10-12)","Suspend","hate-speech, porn"
